1,三酸化二鉄(ⅲ)の色は？,,赤,白,黒,緑
2,四酸化三鉄の色は？,,黒,赤,白,緑
3,Feを1000℃以上で熱すると何が生成するか,,Fe₃O₄,FeO,Fe₂O₃,Fe₃O
4,Fe²⁺は何色か,,淡緑,赤,黄褐,緑
5,Fe³⁺は何色か,,黄褐,淡緑,赤,黒
6,Fe²⁺とNaOHと反応させると何色の何ができるか,,"Fe(OH)₂, 緑白","Fe(OH)₂, 赤","FeO, 黒 ","FeO, 白"
7,Fe²⁺とK₄[Fe(CN)₆]と反応させると何色の生成物ができるか,,青白,緑,濃青,赤
8,Fe²⁺とK₃[Fe(CN)₆]と反応させると何色の生成物ができるか,,濃青,緑,青白,黄
9,Fe²⁺とKSCNと反応させると何色の生成物ができるか,,沈殿しない,血赤,緑,褐
10,Fe³⁺とNaOHと反応させると何色の何ができるか,,赤褐,濃青,黄褐,緑
11,Fe³⁺とK₄[Fe(CN)₆]と反応させると何色の生成物ができるか,,濃青,青白,褐,緑
12,Fe³⁺とK₃[Fe(CN)₆]と反応させると何色の生成物ができるか,※沈殿しない,褐,濃青,青白,白
13,Fe³⁺とKSCNと反応させると何色の生成物ができるか,※沈殿しない,血赤,黒,白,緑
14,MnO₄⁻は何色か,,赤紫,桃,青白,黄
15,Mn²⁺は何色か,,淡桃,赤紫,緑,黄
16,MnO₂は何色か,,黒,白,桃,緑
17,MnO₄⁻を酸性条件下で酸化剤として使うと何になるか,,Mn²⁺,MnO₄,Mn,MnO₂
18,MnO₄⁻を中性・塩基性条件下で酸化剤として使うと何になるか,,MnO₂,Mn²⁺,Mn,MnO₄
19,Cr₂O₇ ²⁻は何色か,,橙赤,褐,黄褐,緑
20,CrO₄ ²⁻は何色か,,赤,橙,褐,黒
21,Cr₂O₇ ²⁻を酸性条件下で酸化剤として使うと何になるか,,"Cr³⁺, 緑","Cr²⁺, 黄","Cr³⁺, 黄","Cr²⁺, 緑"
22,SO₂を酸化剤として使うと何になるか,,S,S²⁻,SO,SO₄
23,H₂O₂を酸性条件下で酸化剤として使うと何になるか,,2H₂O,H₂,O₂,OH⁻
24,H₂O₂を塩基性条件下で酸化剤として使うと何になるか,,2OH⁻,2H₂O,H₂,O₂
25,SnCl₂を還元剤として使うと何になるか,,Sn⁴⁺,Sn²⁺,Sn,SnCl
26,SO₂を還元剤として使うと何になるか,,SO₄²⁻,S,SO,SO₂
27,H₂O₂を還元剤として使うと何になるか,,O₂,H₂,H₂O,OH⁻
28,Cl₂を水に溶かすと何ができるか,,HClとHClO,HClとH₂O,HCl,HClO
29,HFの製法は？,,ホタル石と濃硫酸を加熱,塩化ナトリウムと濃硫酸を加熱,塩素と水酸化カルシウム,銅と希硫酸を加熱
30,HClの製法は？,,塩化ナトリウムと濃硫酸を加熱,ホタル石と濃硫酸を加熱,塩素と水酸化カルシウム,銅と希硫酸を加熱
31,さらし粉の製法は？,,塩素と水酸化カルシウム,塩化ナトリウムと濃硫酸を加熱,ホタル石と濃硫酸を加熱,銅と希硫酸を加熱
32,窒素は水に溶けるか,,難溶,微溶,可溶,易溶
33,アンモニアの製法は？,,ハーバー・ボッシュ法,オストワルト法,アンモニアソーダ法,接触法
34,硝酸の製法は？,,オストワルト法,ハーバー・ボッシュ法,アンモニアソーダ法,接触法
35,NOは水に溶けるか,,難溶,可溶,易溶,微溶
36,NO₂は水に溶けるか,,易溶,難溶,可溶,微溶
37,NOは何色か,,無色,黄,赤褐,緑
38,NO₂は何色か,,赤褐,無色,黄,緑
39,黄リンはCS₂に溶けるか,,可溶,微溶,難溶,易溶
40,赤リンはCS₂にとけるか,,難溶,易溶,微溶,可溶
41,十酸四リンP₄O₁₀の性質として当てはまらないものは？,,潮解性,昇華性,吸湿性,白色固体
42,硫黄が常温状態で最も安定な状態は？,,斜方硫黄,単斜硫黄,ゴム状硫黄,.
43,硫黄は水に溶けるか,,難溶,易溶,可溶,微溶
44,SO₂は水に溶けるか,,可溶,微溶,易溶,難溶
45,H₂Sは水に溶けるか,,微溶,可溶,易溶,難溶
46,SO₂の製法は？,,銅と希硫酸を加熱,ホタル石と濃硫酸を加熱,塩化ナトリウムと濃硫酸を加熱,塩素と水酸化カルシウム
47,H₂Sの検出法は？,,酢酸鉛紙を黒変,石灰水を白濁,塩化コバルト紙を赤変,ビウレット反応
48,SO₂からSO₃生成するときに使う触媒は？,,酸化バナジウム(Ⅴ),二酸化マンガン,鉄,白金
49,COは水に溶けるか,,難溶,微溶,可溶,易溶
50,CO₂は水に溶けるか,,微溶,難溶,可溶,易溶
51,塩基性気体を吸収する乾燥剤は？,,"ソーダ石灰,生石灰",濃硫酸,十酸化四リン,塩化カルシウム
52,ZnSの色は？,,白,黒,褐,桃
53,SnSの色は？,,褐,白,黒,黄
54,NaOHの性質は？,,潮解性,吸湿性,昇華性,不揮発性
55,炭酸ナトリウムの製法は？,,アンモニアソーダ法,オストワルト法,接触法,ハーバー・ボッシュ法
