1,見る,,思う,覗く,考える,歩く
2,見す,,結婚させる,面倒を見る,遊ぶ,覗かせる
3,見ゆ,,見える,結婚させる,分かる,考える
4,かいまみる,,のぞき見る,見る,開ける,会う
5,よばふ,,呼び続ける,見る,考える,出会う
6,好く,,風流を好む,好き,会いたい,見る
7,わたる,,移動する,歩く,修行する,出家する
8,ありく,,歩き回る,歩く,見る,出会う
9,おこなふ,,仏道修行をする,会議をする,参拝する,出会う
10,なやむ,,病気になる,病気が治る,悩む,考える
11,おこたる,,病気が治る,病気になる,ためらう,しない
12,おくる,,先立たれる,遅れる,送る,向かう
13,ながむ,,物思いにふける,長くする,見る,眺める
14,ときめく,,寵愛を受ける,ドキドキする,見る,映える
15,かしづく,,大切に育てる,差し上げる,仕える,貸す
16,めづ,,愛する,育てる,見える,見えない
17,おどろく,,目を覚ます,心配する,逃げる,怪しむ
18,こうず,,疲れる,抗議する,反抗する,工事する
19,覚ゆ,,思われる,思う,覚える,物思いにふける
20,聞こゆ,,聞こえる,ささやく,言う,大声で話す
21,まもる,,見つめる,守る,防ぐ,身ごもる
22,たのむ,,あてにする,お願いする,見る,結婚する
23,かづく,,いただく・かぶる,大切に育てる,仕える,建てる
24,ののしる,,大声で騒ぐ,罵る,怒る,上に乗る
25,やる,,(ものを)送る,出家する,行く,来る
26,いらふ,,答える,いらない,言う,伝える
27,にほふ,,美しく映える,匂う,近づく,似ている
28,あきらむ,,明らかにする,諦める,満足する,見たい
29,ねんず,,我慢する,念じる,祈る,仏道修行する
30,まうく,,用意する,参上する,行く,差し上げる
31,ゐる,,じっとしている,送る,行かせる,参る
32,具す,,連れる,具体的に言う,会う,見る
33,経(ふ),,(時間が)たつ,お経を唱える,行う,会う
34,避る(さる),,避ける,来る,行く,逃げる
35,去る,,(その時に)なる,避ける,逃げる,死ぬ
36,ものす,,(ものごとを)する,もの申す,出家する,遊ぶ
37,ならふ,,慣れる,習う,学ぶ,なぞらえる
38,忍ぶ(しのぶ),,我慢する,隠れる,逃げる,見つける
39,偲ぶ(しのぶ),,思い出す,避ける,我慢する,逃げる
40,わぶ,,困る,詫びる,忘れる,持っていく
41,をかし,,すばらしい,よくない,いやな,わるくない
42,よろし,,わるくはない,よい,わるい,よくはない
43,ありがたし,,めったにない,よくある,ありがたい,よい
44,つきづきし,,ふさわしい,似ている,悲しい,すばらしい
45,なまめかし,,上品だ,すばらしい,まじめだ,憎い
46,めでたし,,すばらしい,上品だ,ふさわしい,ありがたい
47,うるはし,,きちんとしている,すばらしい,はしたない,ありがたい
48,やむごとなし,,高貴だ,やることがなく,しかたない,わるくはない
49,おとなし,,思慮分別がある,子供っぽい,若々しい,まじめだ
50,ゆかし,,見たい,すばらしい,わくわくする,なつかしい
51,なつかし,,親しみが深い,なつかしい,めったにない,すばらしい
52,はづかし,,立派だ,すばらしい,醜い,子供っぽい
53,こころにくし,,奥ゆかしい,憎い,立派だ,おとなしい
54,うつくし,,かわいい,憎い,立派だ,奥ゆかしい
55,かなし,,いとしい,見たい,かなわない,すばらしい
56,らうたし,,かわいい,うつくしい,生々しい,子供っぽい
57,めやすし,,感じがよい,うつくしい,かわいい,すばらしい
58,怪し(あやし),,不思議だ,身分が低い,かわいい,感じがよい
59,賎し(あやし),,身分が低い,怪しい,騒々しい,感じがよい
60,さうざうし,,物足りない,騒々しい,うるさい,居心地が悪い
61,つれなし,,平然としている,騒いでいる,連れている,騒々しい
62,なめし,,無礼だ,まじめだ,静かな,うるさい
63,おどろおどろし,,気味が悪い,驚く,心配する,すばらしい
64,憂し,,つらい,うれしい,かわいい,感じがよい
65,むつかし,,不快だ,難しい,なつかしい,すばらしい
66,すさまじ,,しらけている,すごい,凄まじい,不快だ
67,びんなし,,不都合だ,不憫な,鬱陶しい,不快だ
68,いとほし,,気の毒だ,うつくしい,すばらしい,恋しい
69,いはけなし,,子供っぽい,平然としている,つらい,居ても立っても居られない
70,つらし,,薄情だ,うれしい,かわいい,感じがよい
71,ところせし,,窮屈だ,多い,たくさんだ,つらい
72,うしろめたし,,気がかりだ,励ます,気味が悪い,怖い
73,かたはらいたし,,きまり悪い,痛い,気がかりだ,気味が悪い
74,わりなし,,道理に合わない,立派だ,恥ずかしい,すばらしい
75,本意なし,,残念だ,会いたくない,見たくない,つらい
76,あさまし,,驚くほどあきれる,憎い,つらい,うしろめたい
77,めざまし,,気に食わない,つらい,うつくしい,ひどい
78,いみじ,,すばらしい・ひどい,つらい,醜い,気に食わない
79,ゆゆし,,甚だしい,気味が悪い,うつくしい,うしろめたい
80,やさし,,優美だ,やさしい,うつくしい,やつれる
81,しるし,,はっきりとわかる,めずらしい,見守る,知らせる
82,とし,,はやい,老いる,長く,短く
83,ゆくりなし,,突然だ,ゆっくりする,せわしなく,あてもなく
84,おぼつかなし,,はっきりしない,ゆっくりする,突然だ,明らかにする
85,心もとなし,,不安だ,はっきりする,突然だ,どうしようもなく
86,あはれなり,,しみじみと心に深く感じられる,ものさびしい,思いがけない,むやみやたらに
87,つれづれなり,,退屈である,しみじみとする,中途半端だ,忙しく
88,すずろなり,,思いがけない,退屈である,なんとなく,むなしい
89,まめなり,,まじめである,退屈である,しみじみとする,役に立たない
90,まめやかなり,,まじめである,退屈である,しみじみとする,役に立たない
91,あだなり,,はかない,むなしい,子供っぽい,役に立つ
92,いたづらなり,,役に立たない,まじめである,ひどい,しみじみとする
93,いうなり,,優れている,身分が高い,ひどい,ほんのちょっと
94,あてなり,,高貴である,優れている,ひそかに,まじめである
95,あからさまなり,,ほんのちょっと,こっそりと,いい加減だ,明らかである
96,みそかなり,,ひそかに,優れている,しみじみとする,退屈である
97,おろそかなり,,いい加減だ,優れている,はかない,退屈である
98,をこなり,,愚かだ,ひどい,ひそかに,退屈である
99,むげなり,,ひどい,無駄である,どっちつかずだ,ほんのちょっと
